,month,month_name,year,total_violent_count,total_gun_poss_count,total_violent_arrests,total_gun_poss_arrests,vi_ar,gp_ar,violent_count_yoy_change,violent_count_yoy_pct,gun_poss_count_yoy_change,gun_poss_count_yoy_pct,vi_ar_yoy_change,gp_ar_yoy_change
58,11,Nov,2018,1381,304,215,380,15.57,125.0,-350.0,-20.21952628538417,36.0,13.432835820895516,3.9000000000000004,-6.340000000000003
70,11,Nov,2019,1206,317,191,424,15.84,133.75,-175.0,-12.671976828385223,13.0,4.276315789473695,0.2699999999999996,8.75
82,11,Nov,2020,1305,502,144,567,11.03,112.95,99.0,8.208955223880587,185.0,58.35962145110409,-4.8100000000000005,-20.799999999999997
94,11,Nov,2021,1412,426,150,483,10.62,113.38,107.0,8.199233716475085,-76.0,-15.139442231075694,-0.41000000000000014,0.4299999999999926
106,11,Nov,2022,1487,333,152,409,10.22,122.82,75.0,5.311614730878178,-93.0,-21.830985915492963,-0.3999999999999986,9.439999999999998
118,11,Nov,2023,1706,395,174,458,10.2,115.95,219.0,14.727639542703418,62.0,18.61861861861862,-0.02000000000000135,-6.86999999999999
130,11,Nov,2024,1363,322,182,429,13.35,133.23,-343.0,-20.105509964830016,-73.0,-18.481012658227847,3.1500000000000004,17.279999999999987
11,12,Dec,2014,1449,175,240,263,16.56,150.29,,,,,,
23,12,Dec,2015,1518,133,209,205,13.77,154.14,69.0,4.761904761904767,-42.0,-24.0,-2.789999999999999,3.8499999999999943
35,12,Dec,2016,1634,229,190,314,11.63,137.12,116.0,7.641633728590258,96.0,72.18045112781954,-2.139999999999999,-17.019999999999982
47,12,Dec,2017,1614,300,184,385,11.4,128.33,-20.0,-1.2239902080783405,71.0,31.00436681222707,-0.23000000000000043,-8.789999999999992
59,12,Dec,2018,1437,333,193,435,13.43,130.63,-177.0,-10.966542750929364,33.0,11.00000000000001,2.0299999999999994,2.299999999999983
71,12,Dec,2019,1287,339,185,446,14.37,131.56,-150.0,-10.438413361169108,6.0,1.8018018018018056,0.9399999999999995,0.9300000000000068
83,12,Dec,2020,1086,509,153,573,14.09,112.57,-201.0,-15.617715617715621,170.0,50.14749262536873,-0.27999999999999936,-18.99000000000001
95,12,Dec,2021,1513,341,142,410,9.39,120.23,427.0,39.31860036832413,-168.0,-33.005893909626714,-4.699999999999999,7.660000000000011
107,12,Dec,2022,1541,331,168,405,10.9,122.36,28.0,1.8506278916060825,-10.0,-2.9325513196480912,1.5099999999999998,2.1299999999999955
119,12,Dec,2023,1655,299,184,390,11.12,130.43,114.0,7.397793640493178,-32.0,-9.667673716012082,0.21999999999999886,8.070000000000007
131,12,Dec,2024,1286,374,170,488,13.22,130.48,-369.0,-22.296072507552868,75.0,25.083612040133787,2.1000000000000014,0.04999999999998295
